"t[,1]","t[,2]","t[,3]","t[,4]","t[,5]","r[,1]","r[,2]","r[,3]","r[,4]","r[,5]","n[,1]","n[,2]","n[,3]","n[,4]","n[,5]",na[]
1,6,NA,NA,NA,819,178,NA,NA,NA,133994,7166,NA,NA,NA,2
1,6,NA,NA,NA,721,174,NA,NA,NA,10586,3631,NA,NA,NA,2
1,6,NA,NA,NA,394,95,NA,NA,NA,2024,785,NA,NA,NA,2
1,2,NA,NA,NA,440,11,NA,NA,NA,65742,430,NA,NA,NA,2
1,2,NA,NA,NA,370,10,NA,NA,NA,5114,210,NA,NA,NA,2
1,2,NA,NA,NA,191,4,NA,NA,NA,919,61,NA,NA,NA,2
1,3,7,NA,NA,7037,564,10579,NA,NA,1664670,581648,5592331,NA,NA,3
1,4,5,NA,NA,7852,13166,7203,NA,NA,856563,4629255,1305706,NA,NA,3
2,9,NA,NA,NA,5,26,NA,NA,NA,80925,80925,NA,NA,NA,2
1,2,NA,NA,NA,25,1,NA,NA,NA,352878,352878,NA,NA,NA,2
1,2,3,8,9,107,127,191,5,9,7577,30390,25832,3721,11295,5
1,6,NA,NA,NA,30,1,NA,NA,NA,4859,55,NA,NA,NA,2
1,2,NA,NA,NA,30,1,NA,NA,NA,4859,274,NA,NA,NA,2
1,2,NA,NA,NA,76,5,NA,NA,NA,944,116,NA,NA,NA,2
1,2,NA,NA,NA,323,138,NA,NA,NA,2743,1045,NA,NA,NA,2
1,2,NA,NA,NA,25,15,NA,NA,NA,272,293,NA,NA,NA,2
