"t[,1]","t[,2]","t[,3]","t[,4]","t[,5]","t[,6]","t[,7]","t[,8]","t[,9]","t[,10]","t[,11]","r[,1]","r[,2]","r[,3]","r[,4]","r[,5]","r[,6]","r[,7]","r[,8]","r[,9]","r[,10]","r[,11]","n[,1]","n[,2]","n[,3]","n[,4]","n[,5]","n[,6]","n[,7]","n[,8]","n[,9]","n[,10]","n[,11]",na[]
2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,8502,8471,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,8550253,17662,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,7019,7020,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,5714,5717,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,4870,4953,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,19544,19514,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3568,6646,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,6297,6307,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5829,5807,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,5721,5731,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4290,4244,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,60190,94569,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,10984,16402,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,109542,430100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,57803,57878,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,47194,47303,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,352878,352878,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,3,4,5,12,17,18,19,20,21,22,137478,30740,4502,1041,7680,34,42,15913,7,42791,36,244716,91754,14324,2700,16150,87,122,34081,11,104325,120,11
1,3,4,10,11,NA,NA,NA,NA,NA,NA,2813,20,1,924,46,NA,NA,NA,NA,NA,NA,22087,1974,127,25513,1575,NA,NA,NA,NA,NA,NA,5
1,3,5,10,12,NA,NA,NA,NA,NA,NA,3657,49,94,450,1776,NA,NA,NA,NA,NA,NA,48186,15749,8244,8641,42829,NA,NA,NA,NA,NA,NA,5
1,3,5,10,12,NA,NA,NA,NA,NA,NA,3656,122,218,137,1356,NA,NA,NA,NA,NA,NA,48185,15749,8244,8641,42829,NA,NA,NA,NA,NA,NA,5
1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,224265,4,2632,NA,NA,NA,NA,NA,NA,NA,NA,442014,273,10831,NA,NA,NA,NA,NA,NA,NA,NA,3
1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,19983,76,571,NA,NA,NA,NA,NA,NA,NA,NA,59316,452,3690,NA,NA,NA,NA,NA,NA,NA,NA,3
1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,46952,106,1414,NA,NA,NA,NA,NA,NA,NA,NA,88982,5985,7477,NA,NA,NA,NA,NA,NA,NA,NA,3
1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,8592,534,219,NA,NA,NA,NA,NA,NA,NA,NA,18742,2797,667,NA,NA,NA,NA,NA,NA,NA,NA,3
1,3,5,6,8,9,10,12,NA,NA,NA,14566,84,644,2533,126,630,670,1897,NA,NA,NA,97856,1037,6655,23515,1099,4627,6318,4627,NA,NA,NA,8
1,7,13,NA,NA,NA,NA,NA,NA,NA,NA,555,189,246,NA,NA,NA,NA,NA,NA,NA,NA,1002,482,481,NA,NA,NA,NA,NA,NA,NA,NA,3
3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,236693,236693,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,158993,158993,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
