,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],-1.728624814,1.347764814,-4.558119169,-2.531717554,-1.717917081,-0.940259357,0.990750683,1.019731749,2200
d[3],-1.951531928,1.35638985,-4.565116197,-2.71818492,-1.965234563,-1.244458661,0.88630328,1.04159021,100
d[4],-1.718308558,1.37380023,-4.371554073,-2.483550485,-1.743346537,-0.987470573,1.036078341,1.111046375,26
d[5],-0.926648603,1.233710794,-3.423954189,-1.489838948,-0.929551099,-0.354313836,1.52751719,1.033090014,1600
d[6],-0.692680505,2.264935951,-5.468533435,-1.820291382,-0.680310499,0.422392659,3.947969086,1.016733198,1400
d[7],-1.164642068,1.073948516,-3.485098251,-1.749922099,-1.097850129,-0.510442392,0.76503967,1.102740519,32
d[8],-3.800837074,2.596130124,-9.126329532,-5.243641961,-3.722363292,-2.378255514,1.391164325,1.005197014,2300
deviance,245.5291189,8.871708128,230.1644876,239.1567679,244.7784617,251.1952473,264.6182755,1.003491766,700
"lor[1,2]",-1.728624814,1.347764814,-4.558119169,-2.531717554,-1.717917081,-0.940259357,0.990750683,1.019731749,2200
"lor[1,3]",-1.951531928,1.35638985,-4.565116197,-2.71818492,-1.965234563,-1.244458661,0.88630328,1.04159021,100
"lor[2,3]",-0.222907114,1.845441192,-3.890953809,-1.307533978,-0.225116846,0.862901444,3.368111542,1.03415174,160
"lor[1,4]",-1.718308558,1.37380023,-4.371554073,-2.483550485,-1.743346537,-0.987470573,1.036078341,1.111046375,26
"lor[2,4]",0.010316256,1.894985617,-3.591800012,-1.158584859,-0.0175316,1.100205638,3.895143448,1.072340364,40
"lor[3,4]",0.23322337,1.863294111,-3.498534684,-0.744873451,0.207264173,1.189502383,4.003419277,1.074647763,47
"lor[1,5]",-0.926648603,1.233710794,-3.423954189,-1.489838948,-0.929551099,-0.354313836,1.52751719,1.033090014,1600
"lor[2,5]",0.801976212,1.77406893,-2.787483199,-0.182814721,0.851419606,1.779757139,4.249467367,1.022365856,990
"lor[3,5]",1.024883326,1.762988275,-2.553120919,0.168433534,1.021214174,1.971445722,4.419679325,1.043435238,260
"lor[4,5]",0.791659956,1.743246651,-3.081104918,-0.012833202,0.807688893,1.740014923,4.073225731,1.071000521,48
"lor[1,6]",-0.692680505,2.264935951,-5.468533435,-1.820291382,-0.680310499,0.422392659,3.947969086,1.016733198,1400
"lor[2,6]",1.03594431,2.592500371,-4.150127739,-0.32262031,1.114496867,2.419060436,6.172253604,1.017675115,880
"lor[3,6]",1.258851424,2.515021931,-3.880227921,-0.050313953,1.2028896,2.479822445,6.582989872,1.021173172,660
"lor[4,6]",1.025628054,2.562418356,-4.511449623,-0.236090743,1.029394969,2.317085499,6.053464252,1.037360294,130
"lor[5,6]",0.233968098,2.501820669,-4.771431305,-0.995688707,0.200253964,1.441551,5.314348118,1.022871002,3000
"lor[1,7]",-1.164642068,1.073948516,-3.485098251,-1.749922099,-1.097850129,-0.510442392,0.76503967,1.102740519,32
"lor[2,7]",0.563982746,1.666452774,-2.950670087,-0.31068626,0.621304328,1.50295201,3.679919335,1.063344304,72
"lor[3,7]",0.78688986,1.64645475,-2.491896537,-0.07158029,0.806834768,1.698471982,3.948856241,1.028288914,440
"lor[4,7]",0.55366649,1.746713789,-3.13215228,-0.299386092,0.609648957,1.549032218,3.853460112,1.122093758,26
"lor[5,7]",-0.237993465,1.552857244,-3.308160486,-1.018565385,-0.225881893,0.551891382,2.888636376,1.053071,79
"lor[6,7]",-0.471961563,2.400491834,-5.487011494,-1.642763156,-0.457284551,0.744335182,4.659294204,1.031612189,200
"lor[1,8]",-3.800837074,2.596130124,-9.126329532,-5.243641961,-3.722363292,-2.378255514,1.391164325,1.005197014,2300
"lor[2,8]",-2.07221226,2.73032943,-7.137488283,-3.605261869,-2.14059595,-0.646492928,3.963531776,1.008399231,2600
"lor[3,8]",-1.849305146,2.887819923,-7.567597976,-3.504484696,-1.834149708,-0.237479824,3.925155669,1.012687816,230
"lor[4,8]",-2.082528516,2.897164661,-7.68948352,-3.703110016,-2.066011284,-0.461296568,3.757228647,1.027195598,100
"lor[5,8]",-2.874188472,2.875512526,-8.674564699,-4.448196821,-2.878989663,-1.309800939,3.060625596,1.009976844,1200
"lor[6,8]",-3.10815657,3.418743849,-9.896734476,-5.021750911,-3.180966635,-1.182968059,3.910653845,1.010498496,1000
"lor[7,8]",-2.636195006,2.795212058,-8.005958017,-4.204580756,-2.72022868,-1.15764573,3.322403625,1.027644946,130
resdev[1],2.214889035,1.844954449,0.149483023,0.930807979,1.663100605,2.97625718,7.054090441,1.139551352,23
resdev[2],2.229285667,2.530584551,0.043919652,0.538228362,1.468011371,3.077452549,8.527622025,1.05169972,45
resdev[3],1.900437738,1.960185549,0.03856617,0.506598205,1.29085969,2.682131092,6.946230265,1.025160567,110
resdev[4],1.589155395,1.560261839,0.037099793,0.449076258,1.128780194,2.256642882,5.404357147,1.014998983,160
resdev[5],2.221838839,1.870534022,0.059089043,0.767893662,1.775620076,3.143977795,6.828037389,1.026730422,140
resdev[6],2.141648965,2.161463373,0.041840534,0.611548092,1.489312531,3.037175812,7.909579458,1.001136799,3000
resdev[7],2.03092939,2.034861154,0.055256457,0.568771255,1.448256674,2.783680952,7.31100058,1.001493605,3000
resdev[8],1.940333924,1.947761487,0.04994181,0.55344997,1.344595443,2.679941743,6.77318061,1.000600785,3000
resdev[9],1.970641273,1.953139698,0.048943779,0.567740774,1.39112864,2.71561515,7.203249435,1.001570989,3000
resdev[10],1.97808434,1.994680539,0.047483507,0.588306526,1.380981318,2.676085263,7.190536604,1.002075581,1300
resdev[11],2.16743159,2.223403329,0.052611977,0.606214246,1.471846245,2.995747221,8.206875519,1.002062105,1300
resdev[12],2.014167183,1.988226093,0.047259232,0.592959383,1.463313827,2.732441142,7.500257367,1.000527397,3000
resdev[13],1.90099528,1.853187877,0.062116577,0.578908242,1.343647222,2.615050267,6.87235511,1.001435647,2400
resdev[14],2.467569728,2.279231059,0.074984963,0.755573403,1.809409623,3.434336857,8.451908026,1.026642255,80
resdev[15],2.073732856,2.003482265,0.055029744,0.61481552,1.439207968,2.975327441,7.04183927,1.000645347,3000
resdev[16],7.104686636,3.791856114,1.729732888,4.319714854,6.421118789,9.250305723,16.16239683,1.001732608,1600
rk[1],7,0.992441368,5,7,7,8,8,1.009196607,310
rk[2],4,1.852490191,1,2,4,5,8,1.02771272,78
rk[3],3,1.747446286,1,2,3,4,8,1.009325155,310
rk[4],4,1.835775017,1,2,4,5,8,1.096750646,27
rk[5],5,1.717323874,2,4,6,7,8,1.002385155,3000
rk[6],5,2.287737267,1,4,6,8,8,1.004029595,670
rk[7],5,1.6857161,2,4,5,6,8,1.05590948,53
rk[8],2,1.873903785,1,1,1,2,8,1.018687769,130
sdALL,1.102881328,0.880540874,0.050470314,0.505542998,0.945562567,1.457234676,3.269851425,1.062212052,41
sdCC,1.716803068,1.20335169,0.23074472,0.915450512,1.436765648,2.214722788,4.766653742,1.017340842,120
sdRC,1.566861484,0.956836201,0.586620233,0.930231326,1.308169458,1.897161295,4.120471671,1.002090116,1300
sdRCT,0.759334583,0.725367148,0.065736267,0.274408755,0.55147016,1.010516395,2.651662755,1.026848423,81
totresdev,37.94582784,8.871708128,22.58119636,31.57347686,37.19517055,43.61195624,57.03498434,1.003939552,580
